30-12-2014 17:47 - [server_room]   Humidity:37.46,          Temperature:21.32;
30-12-2014 17:47 - [garden]   Humidity:23.14,          Temperature:25.36;
30-12-2014 17:48 - [server_room]   Humidity:36.93,          Temperature:21.39;
30-12-2014 17:48 - [garden]   Humidity:23.14,          Temperature:25.36;
30-12-2014 17:50 - [server_room]   Humidity:37.45,          Temperature:21.20;
30-12-2014 17:50 - [garden]   Humidity:23.14,          Temperature:25.32;
30-12-2014 17:51 - [server_room]   Humidity:37.44,          Temperature:21.12;
30-12-2014 17:51 - [garden]   Humidity:24.29,          Temperature:25.04;
30-12-2014 17:52 - [server_room]   Humidity:37.46,          Temperature:21.32;
30-12-2014 17:52 - [garden]   Humidity:23.73,          Temperature:25.32;
30-12-2014 17:53 - [server_room]   Humidity:36.41,          Temperature:21.64;
30-12-2014 17:53 - [garden]   Humidity:23.14,          Temperature:25.40;
30-12-2014 17:54 - [server_room]   Humidity:36.93,          Temperature:21.43;
30-12-2014 17:54 - [garden]   Humidity:23.15,          Temperature:25.40;
30-12-2014 17:55 - [server_room]   Humidity:37.47,          Temperature:21.36;
30-12-2014 17:55 - [garden]   Humidity:23.14,          Temperature:25.36;
30-12-2014 17:55 - [server_room]   Humidity:37.47,          Temperature:21.39;
30-12-2014 17:55 - [garden]   Humidity:23.14,          Temperature:25.36;
30-12-2014 17:56 - [server_room]   Humidity:37.45,          Temperature:21.24;
30-12-2014 17:56 - [garden]   Humidity:22.55,          Temperature:25.28;
30-12-2014 17:57 - [server_room]   Humidity:37.45,          Temperature:21.16;
30-12-2014 17:57 - [garden]   Humidity:23.14,          Temperature:25.28;
30-12-2014 17:58 - [server_room]   Humidity:37.40,          Temperature:20.72;
30-12-2014 17:58 - [garden]   Humidity:23.15,          Temperature:25.32;
30-12-2014 17:58 - [server_room]   Humidity:37.95,          Temperature:20.64;
30-12-2014 17:58 - [garden]   Humidity:23.14,          Temperature:25.32;
30-12-2014 17:59 - [server_room]   Humidity:38.39,          Temperature:19.84;
30-12-2014 17:59 - [garden]   Humidity:23.14,          Temperature:25.28;
30-12-2014 17:59 - [server_room]   Humidity:38.92,          Temperature:19.75;
30-12-2014 17:59 - [garden]   Humidity:23.14,          Temperature:25.28;
30-12-2014 18:00 - [server_room]   Humidity:38.36,          Temperature:19.20;
30-12-2014 18:00 - [garden]   Humidity:23.14,          Temperature:25.28;
30-12-2014 18:00 - [server_room]   Humidity:37.25,          Temperature:19.24;
30-12-2014 18:00 - [garden]   Humidity:22.55,          Temperature:25.28;
30-12-2014 18:01 - [server_room]   Humidity:37.23,          Temperature:18.96;
30-12-2014 18:01 - [garden]   Humidity:21.96,          Temperature:25.20;
30-12-2014 18:01 - [server_room]   Humidity:37.23,          Temperature:18.92;
30-12-2014 18:01 - [garden]   Humidity:21.96,          Temperature:25.20;
30-12-2014 18:02 - [server_room]   Humidity:38.33,          Temperature:19.24;
30-12-2014 18:02 - [garden]   Humidity:21.96,          Temperature:25.20;
30-12-2014 18:02 - [server_room]   Humidity:38.33,          Temperature:19.24;
30-12-2014 18:02 - [garden]   Humidity:21.96,          Temperature:25.20;
30-12-2014 18:03 - [server_room]   Humidity:38.33,          Temperature:19.12;
30-12-2014 18:03 - [garden]   Humidity:21.95,          Temperature:25.12;
30-12-2014 18:04 - [server_room]   Humidity:38.33,          Temperature:19.20;
30-12-2014 18:04 - [garden]   Humidity:21.95,          Temperature:25.12;
30-12-2014 18:05 - [server_room]   Humidity:38.33,          Temperature:19.28;
30-12-2014 18:05 - [garden]   Humidity:21.95,          Temperature:25.08;
30-12-2014 18:05 - [server_room]   Humidity:38.33,          Temperature:19.28;
30-12-2014 18:05 - [garden]   Humidity:21.95,          Temperature:25.08;
30-12-2014 18:06 - [server_room]   Humidity:37.78,          Temperature:19.12;
30-12-2014 18:06 - [garden]   Humidity:21.95,          Temperature:25.08;
30-12-2014 18:06 - [server_room]   Humidity:38.32,          Temperature:19.12;
30-12-2014 18:06 - [garden]   Humidity:21.95,          Temperature:25.08;
30-12-2014 18:07 - [server_room]   Humidity:38.31,          Temperature:19.00;
30-12-2014 18:07 - [garden]   Humidity:21.95,          Temperature:25.04;
30-12-2014 18:07 - [server_room]   Humidity:38.31,          Temperature:19.04;
30-12-2014 18:07 - [garden]   Humidity:21.95,          Temperature:25.04;
30-12-2014 18:08 - [server_room]   Humidity:38.32,          Temperature:19.12;
30-12-2014 18:08 - [garden]   Humidity:21.95,          Temperature:25.00;
30-12-2014 18:08 - [server_room]   Humidity:38.32,          Temperature:19.07;
30-12-2014 18:08 - [garden]   Humidity:21.95,          Temperature:25.00;
30-12-2014 18:09 - [server_room]   Humidity:38.31,          Temperature:19.04;
30-12-2014 18:09 - [garden]   Humidity:22.53,          Temperature:24.96;
30-12-2014 18:09 - [server_room]   Humidity:38.31,          Temperature:19.04;
30-12-2014 18:09 - [garden]   Humidity:22.53,          Temperature:24.96;
30-12-2014 18:10 - [server_room]   Humidity:38.85,          Temperature:19.00;
30-12-2014 18:10 - [garden]   Humidity:22.53,          Temperature:24.88;
30-12-2014 18:11 - [server_room]   Humidity:38.85,          Temperature:18.92;
30-12-2014 18:11 - [garden]   Humidity:22.52,          Temperature:24.88;
30-12-2014 18:12 - [server_room]   Humidity:38.82,          Temperature:18.80;
30-12-2014 18:12 - [garden]   Humidity:23.11,          Temperature:24.88;
30-12-2014 18:12 - [server_room]   Humidity:39.35,          Temperature:18.72;
30-12-2014 18:12 - [garden]   Humidity:23.11,          Temperature:24.84;
30-12-2014 18:13 - [server_room]   Humidity:39.36,          Temperature:18.64;
30-12-2014 18:13 - [garden]   Humidity:23.11,          Temperature:24.84;
30-12-2014 18:13 - [server_room]   Humidity:39.34,          Temperature:18.64;
30-12-2014 18:13 - [garden]   Humidity:23.11,          Temperature:24.84;
30-12-2014 18:14 - [server_room]   Humidity:39.85,          Temperature:18.43;
30-12-2014 18:14 - [garden]   Humidity:23.11,          Temperature:24.80;
30-12-2014 18:14 - [server_room]   Humidity:39.85,          Temperature:18.39;
30-12-2014 18:14 - [garden]   Humidity:23.11,          Temperature:24.80;
30-12-2014 18:15 - [server_room]   Humidity:39.86,          Temperature:18.52;
30-12-2014 18:15 - [garden]   Humidity:23.11,          Temperature:24.80;
30-12-2014 18:15 - [server_room]   Humidity:39.86,          Temperature:18.52;
30-12-2014 18:15 - [garden]   Humidity:23.10,          Temperature:24.80;
